Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Recurrence
"Morning Metrics + Client Messages",03/11/2026,05:30 AM,03/11/2026,06:00 AM,False,"Check n8n execution logs for errors. Reply to any client messages. KPI: 0 unresolved errors.",,False,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR;UNTIL=20261208T235959Z"
"Outreach: 5 Emails + 3 LinkedIn DMs",03/11/2026,06:00 AM,03/11/2026,07:00 AM,False,"Send 5 cold emails + 3 LinkedIn DMs from lead scraper data. KPI: 5 sent before 07:00. Log all contacts in Airtable CRM.",,False,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR;UNTIL=20261208T235959Z"
"Prospect Follow-ups",03/11/2026,07:00 PM,03/11/2026,07:30 PM,False,"Reply to all prospect responses from morning outreach. Follow up on pending proposals. KPI: all replies within 24h.",,False,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR;UNTIL=20261208T235959Z"
"Product Dev (Mon/Wed/Fri)",03/11/2026,07:30 PM,03/11/2026,08:30 PM,False,"Build features, fix workflows, improve client delivery. KPI: 1 improvement shipped per session.",,False,"FREQ=WEEKLY;BYDAY=MO,WE,FR;UNTIL=20261208T235959Z"
"Content Creation (Tue/Thu)",03/12/2026,07:30 PM,03/12/2026,08:30 PM,False,"Write LinkedIn post, create short video, or draft blog content. KPI: 1 piece of content created.",,False,"FREQ=WEEKLY;BYDAY=TU,TH;UNTIL=20261208T235959Z"
"Saturday: Weekly Metrics Review + Pipeline",03/14/2026,08:00 AM,03/14/2026,09:00 AM,False,"Review MRR vs target. Check leads generated, outreach stats, Google Ads CPA. Update pipeline - every deal must have a next action. Kill stale deals (3+ follow-ups no reply).",,False,"FREQ=WEEKLY;BYDAY=SA;UNTIL=20261208T235959Z"
"Saturday: Strategy Calls + Proposals",03/14/2026,09:00 AM,03/14/2026,12:00 PM,False,"Conduct strategy calls with prospects (all calls booked for Saturday). Send proposals. KPI: 2-3 calls conducted.",,False,"FREQ=WEEKLY;BYDAY=SA;UNTIL=20261208T235959Z"
"Saturday: Client Onboarding / Product Dev",03/14/2026,01:00 PM,03/14/2026,03:00 PM,False,"Onboard new clients (activate workflows, configure Airtable). Or build next product feature. KPI: 1 deliverable shipped.",,False,"FREQ=WEEKLY;BYDAY=SA;UNTIL=20261208T235959Z"
"Saturday: Deep Work - Features / Fix Scripts",03/14/2026,03:00 PM,03/14/2026,05:00 PM,False,"Deep focus: build new automation features, write fix scripts, expand lead scraper areas. KPI: 1 major improvement.",,False,"FREQ=WEEKLY;BYDAY=SA;UNTIL=20261208T235959Z"
"Sunday: Batch Content Creation",03/15/2026,08:00 AM,03/15/2026,10:00 AM,False,"Create 5 LinkedIn posts for the week + 1 longer article or case study. Schedule all posts. KPI: full week of content queued.",,False,"FREQ=WEEKLY;BYDAY=SU;UNTIL=20261208T235959Z"
"Sunday: Product Dev / Workflow Fixes",03/15/2026,10:00 AM,03/15/2026,12:00 PM,False,"Fix workflow errors from the week. Build automation improvements. Reduce backlog. KPI: backlog items reduced.",,False,"FREQ=WEEKLY;BYDAY=SU;UNTIL=20261208T235959Z"
"Sunday: Week Planning + CRM Cleanup",03/15/2026,12:00 PM,03/15/2026,01:00 PM,False,"Plan next week's priorities: 3 must-do, 3 should-do, 1 experiment. Clean up CRM pipeline. KPI: every deal has next action.",,False,"FREQ=WEEKLY;BYDAY=SU;UNTIL=20261208T235959Z"
"Thursday: Google Ads Optimization",03/12/2026,07:00 PM,03/12/2026,07:30 PM,False,"Review Google Ads CPA, adjust bids, pause underperforming keywords. KPI: CPA reviewed and optimized.",,False,"FREQ=WEEKLY;BYDAY=TH;UNTIL=20261208T235959Z"
"Month-End Review + Planning",04/01/2026,09:00 AM,04/01/2026,12:00 PM,False,"Full month review: MRR, client count, churn, pipeline, ads ROI. Plan next month priorities. Update revenue projections.",,False,"FREQ=MONTHLY;BYMONTHDAY=1;UNTIL=20261208T235959Z"
"Mid-Month Revenue Check",03/15/2026,01:00 PM,03/15/2026,02:00 PM,False,"Check revenue vs monthly target. Adjust strategy if behind. Review pipeline for quick wins.",,False,"FREQ=MONTHLY;BYMONTHDAY=15;UNTIL=20261208T235959Z"
